HOG	OG	Gene Tree Parent Clade	BMAL	BOKI	CBRI	CELE	CINO	CNIO	CREM	HCON	OTIP	OVOL	PEXS	PRPA	SRAT
N7.HOG0000000	OG0000000	n19				CELE.CELE_C13B7.2, CELE.CELE_C13B7.5, CELE.CELE_Y45G12C.10, CELE.CELE_Y45G12C.6	CINO.Sp34_50057220	CNIO.Cnig_chr_V.g17975	CREM.GCK72_020890						
N7.HOG0000001	OG0000000	n26			CBRI.L5515_006892		CINO.Sp34_50026110	CNIO.Cnig_chr_V.g18009	CREM.GCK72_020824, CREM.GCK72_020825						
N7.HOG0000002	OG0000000	n30			CBRI.L5515_006890	CELE.CELE_R02C2.5, CELE.CELE_W03D2.10	CINO.Sp34_50013810, CINO.Sp34_50026120	CNIO.Cnig_chr_V.g17610, CNIO.Cnig_chr_V.g18007	CREM.GCK72_020499						
N7.HOG0000003	OG0000000	n40				CELE.CELE_C05E4.5, CELE.CELE_C05E4.6, CELE.CELE_T06C12.11			CREM.GCK72_020199						
N7.HOG0000004	OG0000000	n43			CBRI.L5515_005820, CBRI.L5515_006654	CELE.CELE_C09H5.6		CNIO.Cnig_chr_V.g16515, CNIO.Cnig_chr_V.g17694	CREM.GCK72_018749, CREM.GCK72_020370						
N7.HOG0000005	OG0000000	n50							CREM.GCK72_016711, CREM.GCK72_020985						
N7.HOG0000006	OG0000000	n55			CBRI.L5515_002534	CELE.CELE_T03E6.1, CELE.CELE_T03E6.4, CELE.CELE_Y32B12B.5		CNIO.nigoni.pc_2016.07.11_007.g26977							
N7.HOG0000007	OG0000000	n59			CBRI.L5515_005821	CELE.CELE_M01D1.1	CINO.Sp34_50101720, CINO.Sp34_50102120	CNIO.Cnig_chr_V.g16516	CREM.GCK72_018751						
N7.HOG0000008	OG0000000	n64			CBRI.L5515_006778, CBRI.L5515_006836		CINO.Sp34_20016710, CINO.Sp34_20016910	CNIO.Cnig_chr_II.g7938, CNIO.Cnig_chr_II.g8079, CNIO.Cnig_chr_V.g17861, CNIO.Cnig_chr_V.g17917	CREM.GCK72_011124						
N7.HOG0000009	OG0000000	n74			CBRI.L5515_005827	CELE.CELE_F58G4.7		CNIO.Cnig_chr_V.g16520	CREM.GCK72_018754						
N7.HOG0000010	OG0000000	n77			CBRI.L5515_005826	CELE.CELE_F58G4.6	CINO.Sp34_50101610		CREM.GCK72_018753						
N7.HOG0000011	OG0000000	n81			CBRI.L5515_005880			CNIO.Cnig_chr_V.g16603							
N7.HOG0000012	OG0000000	n83				CELE.CELE_F47G9.2			CREM.GCK72_016713						
N7.HOG0000013	OG0000000	n84				CELE.CELE_F21F8.10, CELE.CELE_F21F8.8, CELE.CELE_F21F8.9	CINO.Sp34_50108100, CINO.Sp34_50108200		CREM.GCK72_011125						
N7.HOG0000014	OG0000000	n90			CBRI.L5515_005814	CELE.CELE_B0365.2, CELE.CELE_C09H5.3, CELE.CELE_ZC513.11, CELE.CELE_ZC513.9		CNIO.Cnig_chr_V.g16506, CNIO.Cnig_chr_V.g16507, CNIO.Cnig_chr_V.g16508, CNIO.Cnig_chr_V.g16509	CREM.GCK72_018747						
N7.HOG0000015	OG0000000	n99			CBRI.L5515_005815, CBRI.L5515_005816, CBRI.L5515_005817	CELE.CELE_C09H5.4, CELE.CELE_C09H5.5		CNIO.Cnig_chr_V.g16510, CNIO.Cnig_chr_V.g16511, CNIO.Cnig_chr_V.g16512							
N7.HOG0000016	OG0000000	n109			CBRI.L5515_005824	CELE.CELE_C09H5.9		CNIO.Cnig_chr_V.g16518	CREM.GCK72_018752						
N7.HOG0000017	OG0000000	n112			CBRI.L5515_005825	CELE.CELE_F58G4.5	CINO.Sp34_50100820, CINO.Sp34_50100910, CINO.Sp34_50101410, CINO.Sp34_50107400	CNIO.Cnig_chr_V.g16519	CREM.GCK72_015306, CREM.GCK72_015307, CREM.GCK72_015312, CREM.GCK72_015313						
N7.HOG0000018	OG0000000	n122			CBRI.L5515_005822, CBRI.L5515_005823			CNIO.Cnig_chr_V.g16517							
N7.HOG0000019	OG0000000	n126			CBRI.L5515_018449, CBRI.L5515_018450	CELE.CELE_T22H6.3		CNIO.Cnig_chr_X.g25024, CNIO.Cnig_chr_X.g25025	CREM.GCK72_024951						
N7.HOG0000020	OG0000000	n131			CBRI.L5515_018448	CELE.CELE_T22H6.4		CNIO.Cnig_chr_X.g25023	CREM.GCK72_024950						
N7.HOG0000021	OG0000000	n134				CELE.CELE_T03E6.2, CELE.CELE_T05E12.1, CELE.CELE_T26H5.6									
N7.HOG0000022	OG0000000	n136			CBRI.L5515_008642	CELE.CELE_F07C3.8		CNIO.Cnig_chr_V.g20152, CNIO.Cnig_chr_V.g20153	CREM.GCK72_017026, CREM.GCK72_017027						
N7.HOG0000023	OG0000000	n145				CELE.CELE_F10A3.8	CINO.Sp34_50384010, CINO.Sp34_50384110		CREM.GCK72_004759, CREM.GCK72_004766, CREM.GCK72_019670						
N7.HOG0000024	OG0000000	n150				CELE.CELE_F10A3.12, CELE.CELE_F10A3.13, CELE.CELE_F10A3.15, CELE.CELE_F10A3.5, CELE.CELE_F10A3.6, CELE.CELE_F10A3.7, CELE.CELE_F44G3.1, CELE.CELE_K05D4.2, CELE.CELE_K05D4.5, CELE.CELE_K05D4.9, CELE.CELE_R08H2.13, CELE.CELE_Y6E2A.1, CELE.CELE_Y6E2A.2			CREM.GCK72_020450						
N7.HOG0000025	OG0000000	n164				CELE.CELE_T10H4.1	CINO.Sp34_50383610		CREM.GCK72_019657						
N7.HOG0000026	OG0000000	n166				CELE.CELE_T10H4.2	CINO.Sp34_50377210		CREM.GCK72_019655, CREM.GCK72_022977, CREM.GCK72_023064, CREM.GCK72_026293						
N7.HOG0000027	OG0000000	n172			CBRI.L5515_009949	CELE.CELE_F59A1.4	CINO.Sp34_50217210, CINO.Sp34_50404500	CNIO.Cni-str-89	CREM.GCK72_021798						
N7.HOG0000028	OG0000000	n178				CELE.CELE_F58G4.2	CINO.Sp34_50102110, CINO.Sp34_50102310, CINO.Sp34_50102510	CNIO.Cni-str-90	CREM.GCK72_018757						
N7.HOG0000029	OG0000000	n185				CELE.CELE_F59A1.14, CELE.CELE_F59A1.3		CNIO.Cnig_chr_V.g22059	CREM.GCK72_006974, CREM.GCK72_021806						
