HOG	OG	Gene Tree Parent Clade	BLOB	DELA	EAND	HMAN	MVUL	NNAJ	PCOS	SCAV
N5.HOG0000000	OG0000000	n4			EAND.evm.TU.Chr05.309, EAND.evm.TU.ctg1457.1, EAND.evm.TU.ctg1936.2, EAND.evm.TU.ctg4085.1, EAND.evm.TU.ctg5032.1			NNAJ.FUN_042495		
N5.HOG0000001	OG0000000	n12			EAND.evm.TU.Chr04.2687			NNAJ.FUN_030964, NNAJ.FUN_030985, NNAJ.FUN_044045		
N5.HOG0000002	OG0000000	n16			EAND.evm.TU.Chr03.983, EAND.evm.TU.Chr05.338, EAND.evm.TU.ctg3081.1, EAND.evm.TU.ctg3081.3			NNAJ.FUN_030977		
N5.HOG0000003	OG0000000	n25			EAND.evm.TU.Chr03.950			NNAJ.FUN_031019		
N5.HOG0000004	OG0000000	n31			EAND.evm.TU.Chr03.987, EAND.evm.TU.Chr05.321, EAND.evm.TU.ctg4744.1			NNAJ.FUN_009570, NNAJ.FUN_030969, NNAJ.FUN_030970, NNAJ.FUN_030971, NNAJ.FUN_030972		
N5.HOG0000005	OG0000000	n38			EAND.evm.TU.Chr05.319, EAND.evm.TU.Chr05.320			NNAJ.FUN_030973		
N5.HOG0000006	OG0000000	n68			EAND.evm.TU.ctg1434.2, EAND.evm.TU.ctg1714.3, EAND.evm.TU.ctg2025.1			NNAJ.FUN_030968		
N5.HOG0000007	OG0000000	n82			EAND.evm.TU.ctg1434.3			NNAJ.FUN_030967		
N5.HOG0000008	OG0000000	n83			EAND.evm.TU.ctg1434.4			NNAJ.FUN_030959, NNAJ.FUN_030961, NNAJ.FUN_030965, NNAJ.FUN_030966		
N5.HOG0000009	OG0000000	n87			EAND.evm.TU.Chr05.343, EAND.evm.TU.ctg2021.1			NNAJ.FUN_030957, NNAJ.FUN_030960, NNAJ.FUN_030963		
N5.HOG0000010	OG0000000	n91			EAND.evm.TU.Chr03.992, EAND.evm.TU.Chr03.994, EAND.evm.TU.Chr05.340, EAND.evm.TU.Chr05.341, EAND.evm.TU.ctg1657.1, EAND.evm.TU.ctg1657.3			NNAJ.FUN_030956		
N5.HOG0000011	OG0000000	n97			EAND.evm.TU.Chr02.3333			NNAJ.FUN_030974		
N5.HOG0000012	OG0000000	n117			EAND.evm.TU.Chr03.1009, EAND.evm.TU.ctg2066.3			NNAJ.FUN_030938		
N5.HOG0000013	OG0000000	n121			EAND.evm.TU.Chr03.1001, EAND.evm.TU.Chr03.1002					
N5.HOG0000014	OG0000000	n123			EAND.evm.TU.Chr03.926			NNAJ.FUN_030943		
N5.HOG0000015	OG0000000	n124			EAND.evm.TU.Chr03.1000, EAND.evm.TU.Chr03.1004, EAND.evm.TU.Chr07.1826, EAND.evm.TU.ctg5753.1			NNAJ.FUN_031317		
N5.HOG0000016	OG0000000	n128			EAND.evm.TU.Chr08.13			NNAJ.FUN_005867, NNAJ.FUN_030944		
N5.HOG0000017	OG0000000	n133			EAND.evm.TU.Chr03.976, EAND.evm.TU.ctg1623.1			NNAJ.FUN_030998		
N5.HOG0000018	OG0000000	n136			EAND.evm.TU.Chr03.972, EAND.evm.TU.Chr03.973, EAND.evm.TU.Chr03.974, EAND.evm.TU.Chr03.975, EAND.evm.TU.ctg1623.2, EAND.evm.TU.ctg1623.3, EAND.evm.TU.ctg1623.4, EAND.evm.TU.ctg2867.1, EAND.evm.TU.ctg2867.2, EAND.evm.TU.ctg2867.3, EAND.evm.TU.ctg3548.1, EAND.evm.TU.ctg3548.2, EAND.evm.TU.ctg5805.1			NNAJ.FUN_031000, NNAJ.FUN_031001		
N5.HOG0000019	OG0000000	n159			EAND.evm.TU.Chr03.990, EAND.evm.TU.ctg1657.6, EAND.evm.TU.ctg1802.2			NNAJ.FUN_030954		
N5.HOG0000020	OG0000000	n165			EAND.evm.TU.Chr03.989, EAND.evm.TU.ctg1657.7			NNAJ.FUN_030953		
N5.HOG0000021	OG0000000	n167			EAND.evm.TU.Chr03.1003, EAND.evm.TU.Chr03.991, EAND.evm.TU.Chr03.999, EAND.evm.TU.Chr05.339, EAND.evm.TU.ctg1657.4, EAND.evm.TU.ctg1657.5			NNAJ.FUN_030945		
N5.HOG0000022	OG0000000	n174						NNAJ.FUN_030937, NNAJ.FUN_043953, NNAJ.FUN_043954, NNAJ.FUN_043955, NNAJ.FUN_044035, NNAJ.FUN_044036, NNAJ.FUN_044037, NNAJ.FUN_044038, NNAJ.FUN_044039, NNAJ.FUN_044040, NNAJ.FUN_044041, NNAJ.FUN_044042, NNAJ.FUN_044043, NNAJ.FUN_044044, NNAJ.FUN_044047		
N5.HOG0000023	OG0000000	n192			EAND.evm.TU.Chr03.979, EAND.evm.TU.Chr05.314					
N5.HOG0000024	OG0000000	n194			EAND.evm.TU.Chr05.315, EAND.evm.TU.Chr07.1924			NNAJ.FUN_030982		
N5.HOG0000025	OG0000000	n196			EAND.evm.TU.ctg1836.2			NNAJ.FUN_030983, NNAJ.FUN_030984, NNAJ.FUN_030987, NNAJ.FUN_030988		
N5.HOG0000026	OG0000000	n200			EAND.evm.TU.Chr03.982, EAND.evm.TU.Chr05.317, EAND.evm.TU.Chr05.318, EAND.evm.TU.Chr05.324			NNAJ.FUN_030976		
N5.HOG0000027	OG0000000	n212			EAND.evm.TU.Chr06.2028			NNAJ.FUN_043963		
