HOG	OG	Gene Tree Parent Clade	BLOB	DELA	EAND	HMAN	MVUL	NNAJ	PCOS	SCAV
N1.HOG0000000	OG0000000	n1		DELA.g13508	EAND.evm.TU.Chr02.3333, EAND.evm.TU.Chr03.950, EAND.evm.TU.Chr03.951, EAND.evm.TU.Chr03.983, EAND.evm.TU.Chr03.986, EAND.evm.TU.Chr03.987, EAND.evm.TU.Chr03.992, EAND.evm.TU.Chr03.994, EAND.evm.TU.Chr04.133, EAND.evm.TU.Chr04.2687, EAND.evm.TU.Chr05.309, EAND.evm.TU.Chr05.319, EAND.evm.TU.Chr05.320, EAND.evm.TU.Chr05.321, EAND.evm.TU.Chr05.323, EAND.evm.TU.Chr05.338, EAND.evm.TU.Chr05.340, EAND.evm.TU.Chr05.341, EAND.evm.TU.Chr05.343, EAND.evm.TU.Chr06.2017, EAND.evm.TU.ctg1434.2, EAND.evm.TU.ctg1434.3, EAND.evm.TU.ctg1434.4, EAND.evm.TU.ctg1457.1, EAND.evm.TU.ctg1657.1, EAND.evm.TU.ctg1657.3, EAND.evm.TU.ctg1714.3, EAND.evm.TU.ctg1936.2, EAND.evm.TU.ctg2021.1, EAND.evm.TU.ctg2025.1, EAND.evm.TU.ctg3081.1, EAND.evm.TU.ctg3081.3, EAND.evm.TU.ctg4085.1, EAND.evm.TU.ctg4744.1, EAND.evm.TU.ctg5032.1		MVUL.evm.TU.MV001000030, MVUL.evm.TU.MV001033130, MVUL.evm.TU.MV001033140, MVUL.evm.TU.MV006005180, MVUL.evm.TU.MV012010840, MVUL.evm.TU.MV012010880, MVUL.evm.TU.MV012010920, MVUL.evm.TU.MV012010950, MVUL.evm.TU.MV012010970, MVUL.evm.TU.MV012011020, MVUL.evm.TU.MV012011040, MVUL.evm.TU.MV012011080, MVUL.evm.TU.MV012011110, MVUL.evm.TU.MV014000010, MVUL.evm.TU.MV018000160, MVUL.evm.TU.MV018000170, MVUL.evm.TU.MV018004320, MVUL.evm.TU.MV018004380, MVUL.evm.TU.MV018004400, MVUL.evm.TU.MV018009270, MVUL.evm.TU.MV023005550, MVUL.evm.TU.MV023005740, MVUL.evm.TU.MV023005970, MVUL.evm.TU.MV023005980, MVUL.evm.TU.MV023006010, MVUL.evm.TU.MV023006020, MVUL.evm.TU.MV023006070, MVUL.evm.TU.MV023006100, MVUL.evm.TU.MV023006110, MVUL.evm.TU.MV023009250, MVUL.evm.TU.MV025011000, MVUL.evm.TU.MV027009870, MVUL.evm.TU.MV027009880, MVUL.evm.TU.MV032003140, MVUL.evm.TU.MV032003150, MVUL.evm.TU.MV032003230, MVUL.evm.TU.MV036002070, MVUL.evm.TU.MV036002080, MVUL.evm.TU.MV036002090, MVUL.evm.TU.MV039007810, MVUL.evm.TU.MV066000100, MVUL.evm.TU.MV072000140, MVUL.evm.TU.MV074000090, MVUL.evm.TU.MV074000100, MVUL.evm.TU.MV074000110, MVUL.evm.TU.MV074000120, MVUL.evm.TU.MV089000030	NNAJ.FUN_009570, NNAJ.FUN_030956, NNAJ.FUN_030957, NNAJ.FUN_030959, NNAJ.FUN_030960, NNAJ.FUN_030961, NNAJ.FUN_030963, NNAJ.FUN_030964, NNAJ.FUN_030965, NNAJ.FUN_030966, NNAJ.FUN_030967, NNAJ.FUN_030968, NNAJ.FUN_030969, NNAJ.FUN_030970, NNAJ.FUN_030971, NNAJ.FUN_030972, NNAJ.FUN_030973, NNAJ.FUN_030974, NNAJ.FUN_030977, NNAJ.FUN_030985, NNAJ.FUN_031019, NNAJ.FUN_042495, NNAJ.FUN_044045		
N1.HOG0000001	OG0000000	n108		DELA.g13687, DELA.g13688	EAND.evm.TU.Chr03.1000, EAND.evm.TU.Chr03.1001, EAND.evm.TU.Chr03.1002, EAND.evm.TU.Chr03.1003, EAND.evm.TU.Chr03.1004, EAND.evm.TU.Chr03.1009, EAND.evm.TU.Chr03.926, EAND.evm.TU.Chr03.972, EAND.evm.TU.Chr03.973, EAND.evm.TU.Chr03.974, EAND.evm.TU.Chr03.975, EAND.evm.TU.Chr03.976, EAND.evm.TU.Chr03.979, EAND.evm.TU.Chr03.982, EAND.evm.TU.Chr03.989, EAND.evm.TU.Chr03.990, EAND.evm.TU.Chr03.991, EAND.evm.TU.Chr03.999, EAND.evm.TU.Chr05.314, EAND.evm.TU.Chr05.315, EAND.evm.TU.Chr05.317, EAND.evm.TU.Chr05.318, EAND.evm.TU.Chr05.324, EAND.evm.TU.Chr05.339, EAND.evm.TU.Chr06.2028, EAND.evm.TU.Chr07.1826, EAND.evm.TU.Chr07.1924, EAND.evm.TU.Chr08.13, EAND.evm.TU.ctg1008.1, EAND.evm.TU.ctg1623.1, EAND.evm.TU.ctg1623.2, EAND.evm.TU.ctg1623.3, EAND.evm.TU.ctg1623.4, EAND.evm.TU.ctg1657.4, EAND.evm.TU.ctg1657.5, EAND.evm.TU.ctg1657.6, EAND.evm.TU.ctg1657.7, EAND.evm.TU.ctg1802.2, EAND.evm.TU.ctg1836.2, EAND.evm.TU.ctg2066.3, EAND.evm.TU.ctg2824.1, EAND.evm.TU.ctg2824.2, EAND.evm.TU.ctg2867.1, EAND.evm.TU.ctg2867.2, EAND.evm.TU.ctg2867.3, EAND.evm.TU.ctg3548.1, EAND.evm.TU.ctg3548.2, EAND.evm.TU.ctg5753.1, EAND.evm.TU.ctg5805.1		MVUL.evm.TU.MV012010850, MVUL.evm.TU.MV012010930, MVUL.evm.TU.MV012011100, MVUL.evm.TU.MV012011160, MVUL.evm.TU.MV015000470, MVUL.evm.TU.MV018000120, MVUL.evm.TU.MV018000190, MVUL.evm.TU.MV018000490, MVUL.evm.TU.MV018000500, MVUL.evm.TU.MV018004330, MVUL.evm.TU.MV023000240, MVUL.evm.TU.MV023000250, MVUL.evm.TU.MV023000270, MVUL.evm.TU.MV023000280, MVUL.evm.TU.MV023000290, MVUL.evm.TU.MV023000300, MVUL.evm.TU.MV023000310, MVUL.evm.TU.MV023000320, MVUL.evm.TU.MV023000330, MVUL.evm.TU.MV023005570	NNAJ.FUN_005867, NNAJ.FUN_030937, NNAJ.FUN_030938, NNAJ.FUN_030942, NNAJ.FUN_030943, NNAJ.FUN_030944, NNAJ.FUN_030945, NNAJ.FUN_030953, NNAJ.FUN_030954, NNAJ.FUN_030976, NNAJ.FUN_030982, NNAJ.FUN_030983, NNAJ.FUN_030984, NNAJ.FUN_030987, NNAJ.FUN_030988, NNAJ.FUN_030989, NNAJ.FUN_030998, NNAJ.FUN_031000, NNAJ.FUN_031001, NNAJ.FUN_031317, NNAJ.FUN_043953, NNAJ.FUN_043954, NNAJ.FUN_043955, NNAJ.FUN_043959, NNAJ.FUN_043961, NNAJ.FUN_043963, NNAJ.FUN_043964, NNAJ.FUN_043965, NNAJ.FUN_043966, NNAJ.FUN_044035, NNAJ.FUN_044036, NNAJ.FUN_044037, NNAJ.FUN_044038, NNAJ.FUN_044039, NNAJ.FUN_044040, NNAJ.FUN_044041, NNAJ.FUN_044042, NNAJ.FUN_044043, NNAJ.FUN_044044, NNAJ.FUN_044046, NNAJ.FUN_044047		
N1.HOG0000002	OG0000000	n220		DELA.g661	EAND.evm.TU.Chr02.3554, EAND.evm.TU.Chr03.228, EAND.evm.TU.Chr03.2835, EAND.evm.TU.Chr03.963, EAND.evm.TU.Chr03.964, EAND.evm.TU.Chr03.965, EAND.evm.TU.Chr03.966, EAND.evm.TU.Chr03.967, EAND.evm.TU.Chr03.969, EAND.evm.TU.Chr03.970, EAND.evm.TU.Chr03.971, EAND.evm.TU.Chr04.2686, EAND.evm.TU.Chr10.1837, EAND.evm.TU.Chr10.1839, EAND.evm.TU.ctg1802.3, EAND.evm.TU.ctg4423.1, EAND.evm.TU.ctg5428.1		MVUL.evm.TU.MV018000480, MVUL.evm.TU.MV018003590, MVUL.evm.TU.MV018003620, MVUL.evm.TU.MV018003630, MVUL.evm.TU.MV023000220, MVUL.evm.TU.MV023000230	NNAJ.FUN_005777, NNAJ.FUN_031002, NNAJ.FUN_031003, NNAJ.FUN_031004, NNAJ.FUN_031005, NNAJ.FUN_031006, NNAJ.FUN_031007, NNAJ.FUN_031008		
N1.HOG0000003	OG0000001	n0		DELA.g10894, DELA.g10896, DELA.g1605, DELA.g6114, DELA.g7970, DELA.g8061, DELA.g8067, DELA.g8068	EAND.evm.TU.Chr01.100, EAND.evm.TU.Chr01.294, EAND.evm.TU.Chr01.298, EAND.evm.TU.Chr01.299, EAND.evm.TU.Chr01.301, EAND.evm.TU.Chr01.302, EAND.evm.TU.Chr01.303, EAND.evm.TU.Chr01.304, EAND.evm.TU.Chr01.305, EAND.evm.TU.Chr01.306, EAND.evm.TU.Chr01.308, EAND.evm.TU.Chr01.309, EAND.evm.TU.Chr01.310, EAND.evm.TU.Chr01.312, EAND.evm.TU.Chr01.313, EAND.evm.TU.Chr01.314, EAND.evm.TU.Chr01.383, EAND.evm.TU.Chr01.385, EAND.evm.TU.Chr01.391, EAND.evm.TU.Chr01.392, EAND.evm.TU.Chr01.393, EAND.evm.TU.Chr01.394, EAND.evm.TU.Chr01.395, EAND.evm.TU.Chr01.401, EAND.evm.TU.Chr01.513, EAND.evm.TU.Chr01.514, EAND.evm.TU.Chr01.516, EAND.evm.TU.Chr01.517, EAND.evm.TU.Chr01.518, EAND.evm.TU.Chr01.519, EAND.evm.TU.Chr01.520, EAND.evm.TU.Chr01.522, EAND.evm.TU.Chr01.524, EAND.evm.TU.Chr01.525, EAND.evm.TU.Chr02.2322, EAND.evm.TU.Chr02.2323, EAND.evm.TU.Chr02.3128, EAND.evm.TU.Chr04.1207, EAND.evm.TU.Chr04.1208, EAND.evm.TU.Chr04.1209, EAND.evm.TU.Chr04.1210, EAND.evm.TU.Chr04.1211, EAND.evm.TU.Chr04.1212, EAND.evm.TU.Chr04.1213, EAND.evm.TU.Chr04.1214, EAND.evm.TU.Chr04.1216, EAND.evm.TU.Chr04.1217, EAND.evm.TU.Chr04.1218, EAND.evm.TU.Chr04.1219, EAND.evm.TU.Chr04.1221, EAND.evm.TU.Chr04.1222, EAND.evm.TU.Chr04.1223, EAND.evm.TU.Chr04.1224, EAND.evm.TU.Chr04.1225, EAND.evm.TU.Chr04.1226, EAND.evm.TU.Chr04.1227, EAND.evm.TU.Chr04.1228, EAND.evm.TU.Chr04.1229, EAND.evm.TU.Chr04.1230, EAND.evm.TU.Chr04.1234, EAND.evm.TU.Chr04.1235, EAND.evm.TU.Chr04.1236, EAND.evm.TU.Chr04.1242, EAND.evm.TU.Chr04.1243, EAND.evm.TU.Chr04.1245, EAND.evm.TU.Chr04.1246, EAND.evm.TU.Chr04.1247, EAND.evm.TU.Chr04.1248, EAND.evm.TU.Chr04.1250, EAND.evm.TU.Chr04.1292, EAND.evm.TU.Chr04.1293, EAND.evm.TU.Chr04.1295, EAND.evm.TU.Chr04.2694, EAND.evm.TU.Chr04.409, EAND.evm.TU.Chr04.410, EAND.evm.TU.Chr04.412, EAND.evm.TU.Chr04.413, EAND.evm.TU.Chr04.414, EAND.evm.TU.Chr04.415, EAND.evm.TU.Chr05.186, EAND.evm.TU.Chr06.1108, EAND.evm.TU.Chr06.1241, EAND.evm.TU.Chr06.1242, EAND.evm.TU.Chr07.2217, EAND.evm.TU.Chr09.1686, EAND.evm.TU.Chr09.1687, EAND.evm.TU.Chr09.1692, EAND.evm.TU.Chr09.1693, EAND.evm.TU.Chr10.1374, EAND.evm.TU.Chr10.1375, EAND.evm.TU.Chr10.1378, EAND.evm.TU.Chr10.1699, EAND.evm.TU.Chr10.1700, EAND.evm.TU.Chr10.1701, EAND.evm.TU.Chr10.694, EAND.evm.TU.ctg1167.14, EAND.evm.TU.ctg2451.1, EAND.evm.TU.ctg2672.1, EAND.evm.TU.ctg2672.2, EAND.evm.TU.ctg2672.3, EAND.evm.TU.ctg3112.1, EAND.evm.TU.ctg3369.1, EAND.evm.TU.ctg3661.1, EAND.evm.TU.ctg3780.1, EAND.evm.TU.ctg3952.1, EAND.evm.TU.ctg4486.1, EAND.evm.TU.ctg4688.1, EAND.evm.TU.ctg5016.2, EAND.evm.TU.ctg5163.1, EAND.evm.TU.ctg6395.1		MVUL.evm.TU.MV001004310, MVUL.evm.TU.MV001015570, MVUL.evm.TU.MV001016440, MVUL.evm.TU.MV001027370, MVUL.evm.TU.MV001027380, MVUL.evm.TU.MV001027390, MVUL.evm.TU.MV005006790, MVUL.evm.TU.MV005006800, MVUL.evm.TU.MV005006810, MVUL.evm.TU.MV007004370, MVUL.evm.TU.MV013011480, MVUL.evm.TU.MV013011500, MVUL.evm.TU.MV013011510, MVUL.evm.TU.MV013011520, MVUL.evm.TU.MV013011550, MVUL.evm.TU.MV013011560, MVUL.evm.TU.MV013011890, MVUL.evm.TU.MV013011900, MVUL.evm.TU.MV022009050, MVUL.evm.TU.MV022009060, MVUL.evm.TU.MV022009070, MVUL.evm.TU.MV023005590, MVUL.evm.TU.MV023005790, MVUL.evm.TU.MV029003020, MVUL.evm.TU.MV032003250, MVUL.evm.TU.MV033007240, MVUL.evm.TU.MV040002070, MVUL.evm.TU.MV040002080, MVUL.evm.TU.MV041003580, MVUL.evm.TU.MV041003590, MVUL.evm.TU.MV149000160	NNAJ.FUN_000193, NNAJ.FUN_000197, NNAJ.FUN_000200, NNAJ.FUN_000208, NNAJ.FUN_000209, NNAJ.FUN_000210, NNAJ.FUN_000212, NNAJ.FUN_000214, NNAJ.FUN_000216, NNAJ.FUN_000217, NNAJ.FUN_000218, NNAJ.FUN_000220, NNAJ.FUN_000222, NNAJ.FUN_000223, NNAJ.FUN_000257, NNAJ.FUN_000261, NNAJ.FUN_000301, NNAJ.FUN_000314, NNAJ.FUN_000316, NNAJ.FUN_000317, NNAJ.FUN_000321, NNAJ.FUN_000326, NNAJ.FUN_000327, NNAJ.FUN_000328, NNAJ.FUN_000329, NNAJ.FUN_000333, NNAJ.FUN_000360, NNAJ.FUN_000361, NNAJ.FUN_000363, NNAJ.FUN_000509, NNAJ.FUN_000512, NNAJ.FUN_000514, NNAJ.FUN_003586, NNAJ.FUN_010959, NNAJ.FUN_022576, NNAJ.FUN_022577, NNAJ.FUN_022578, NNAJ.FUN_022579, NNAJ.FUN_022580, NNAJ.FUN_022581, NNAJ.FUN_022582, NNAJ.FUN_022583, NNAJ.FUN_022584, NNAJ.FUN_022585, NNAJ.FUN_022586, NNAJ.FUN_022587, NNAJ.FUN_022588, NNAJ.FUN_022589, NNAJ.FUN_022590, NNAJ.FUN_022591, NNAJ.FUN_022593, NNAJ.FUN_022595, NNAJ.FUN_022596, NNAJ.FUN_022597, NNAJ.FUN_022599, NNAJ.FUN_022600, NNAJ.FUN_022602, NNAJ.FUN_022604, NNAJ.FUN_022605, NNAJ.FUN_022606, NNAJ.FUN_022607, NNAJ.FUN_022608, NNAJ.FUN_022609, NNAJ.FUN_022610, NNAJ.FUN_022611, NNAJ.FUN_022612, NNAJ.FUN_022613, NNAJ.FUN_022614, NNAJ.FUN_022616, NNAJ.FUN_022617, NNAJ.FUN_022618, NNAJ.FUN_022619, NNAJ.FUN_022621, NNAJ.FUN_022622, NNAJ.FUN_022623, NNAJ.FUN_026073, NNAJ.FUN_026945, NNAJ.FUN_039185, NNAJ.FUN_040594		
N1.HOG0000004	OG0000002	n3					MVUL.evm.TU.MV009006880, MVUL.evm.TU.MV060000030, MVUL.evm.TU.MV108000060			
N1.HOG0000005	OG0000002	n6					MVUL.evm.TU.MV001025010, MVUL.evm.TU.MV001025710, MVUL.evm.TU.MV001027720, MVUL.evm.TU.MV003003310, MVUL.evm.TU.MV003004990, MVUL.evm.TU.MV003005020, MVUL.evm.TU.MV003005280, MVUL.evm.TU.MV003005360, MVUL.evm.TU.MV004011000, MVUL.evm.TU.MV006007560, MVUL.evm.TU.MV008003430, MVUL.evm.TU.MV008010230, MVUL.evm.TU.MV011003460, MVUL.evm.TU.MV011007910, MVUL.evm.TU.MV013012140, MVUL.evm.TU.MV014010110, MVUL.evm.TU.MV014010130, MVUL.evm.TU.MV014010140, MVUL.evm.TU.MV015006150, MVUL.evm.TU.MV015006180, MVUL.evm.TU.MV015007790, MVUL.evm.TU.MV016008700, MVUL.evm.TU.MV017002530, MVUL.evm.TU.MV019007000, MVUL.evm.TU.MV023007020, MVUL.evm.TU.MV024009470, MVUL.evm.TU.MV025003200, MVUL.evm.TU.MV031002980, MVUL.evm.TU.MV032002310, MVUL.evm.TU.MV040004870, MVUL.evm.TU.MV040004890, MVUL.evm.TU.MV040004920, MVUL.evm.TU.MV040004980, MVUL.evm.TU.MV060000010			
N1.HOG0000006	OG0000002	n40			EAND.evm.TU.Chr07.916		MVUL.evm.TU.MV009002970, MVUL.evm.TU.MV009009220			
N1.HOG0000007	OG0000002	n44					MVUL.evm.TU.MV001000020, MVUL.evm.TU.MV001013670, MVUL.evm.TU.MV001014250, MVUL.evm.TU.MV001014260, MVUL.evm.TU.MV001014270, MVUL.evm.TU.MV001016400, MVUL.evm.TU.MV001016410, MVUL.evm.TU.MV002005280, MVUL.evm.TU.MV002006410, MVUL.evm.TU.MV002014350, MVUL.evm.TU.MV002014360, MVUL.evm.TU.MV003016000, MVUL.evm.TU.MV004014790, MVUL.evm.TU.MV006004600, MVUL.evm.TU.MV006004610, MVUL.evm.TU.MV006004630, MVUL.evm.TU.MV006006980, MVUL.evm.TU.MV007003510, MVUL.evm.TU.MV007005670, MVUL.evm.TU.MV009002960, MVUL.evm.TU.MV009006430, MVUL.evm.TU.MV009006700, MVUL.evm.TU.MV009006740, MVUL.evm.TU.MV009006750, MVUL.evm.TU.MV009006760, MVUL.evm.TU.MV009006770, MVUL.evm.TU.MV009009230, MVUL.evm.TU.MV010003140, MVUL.evm.TU.MV010003150, MVUL.evm.TU.MV010004220, MVUL.evm.TU.MV011006480, MVUL.evm.TU.MV011006490, MVUL.evm.TU.MV012000060, MVUL.evm.TU.MV012000070, MVUL.evm.TU.MV012000080, MVUL.evm.TU.MV012010990, MVUL.evm.TU.MV012011000, MVUL.evm.TU.MV013009570, MVUL.evm.TU.MV013010460, MVUL.evm.TU.MV013010470, MVUL.evm.TU.MV013010480, MVUL.evm.TU.MV014004310, MVUL.evm.TU.MV014004320, MVUL.evm.TU.MV017002030, MVUL.evm.TU.MV017002040, MVUL.evm.TU.MV017004810, MVUL.evm.TU.MV019007110, MVUL.evm.TU.MV019007120, MVUL.evm.TU.MV019007130, MVUL.evm.TU.MV019007140, MVUL.evm.TU.MV023002470, MVUL.evm.TU.MV023002480, MVUL.evm.TU.MV023002490, MVUL.evm.TU.MV024008350, MVUL.evm.TU.MV024008360, MVUL.evm.TU.MV024008370, MVUL.evm.TU.MV025002970, MVUL.evm.TU.MV025002990, MVUL.evm.TU.MV029002760, MVUL.evm.TU.MV029002770, MVUL.evm.TU.MV029004470, MVUL.evm.TU.MV029004480, MVUL.evm.TU.MV029004490, MVUL.evm.TU.MV029004900, MVUL.evm.TU.MV029004910, MVUL.evm.TU.MV032006290, MVUL.evm.TU.MV032006300, MVUL.evm.TU.MV039001770, MVUL.evm.TU.MV039001780, MVUL.evm.TU.MV039001790, MVUL.evm.TU.MV039001800, MVUL.evm.TU.MV051000270, MVUL.evm.TU.MV051000280, MVUL.evm.TU.MV051000290, MVUL.evm.TU.MV058000120, MVUL.evm.TU.MV058000130, MVUL.evm.TU.MV063000020, MVUL.evm.TU.MV063000030, MVUL.evm.TU.MV100000050, MVUL.evm.TU.MV100000060, MVUL.evm.TU.MV100000070, MVUL.evm.TU.MV119000070, MVUL.evm.TU.MV142000040, MVUL.evm.TU.MV170000050, MVUL.evm.TU.MV170000060, MVUL.evm.TU.MV170000070			
N1.HOG0000008	OG0000002	n130					MVUL.evm.TU.MV004014800, MVUL.evm.TU.MV004015990, MVUL.evm.TU.MV009008720, MVUL.evm.TU.MV009008970, MVUL.evm.TU.MV040004900			
N1.HOG0000009	OG0000002	n135		DELA.g14622			MVUL.evm.TU.MV001025840, MVUL.evm.TU.MV001027590, MVUL.evm.TU.MV001027730, MVUL.evm.TU.MV002005770, MVUL.evm.TU.MV003004960, MVUL.evm.TU.MV003005240, MVUL.evm.TU.MV004002780, MVUL.evm.TU.MV004002790, MVUL.evm.TU.MV004002810, MVUL.evm.TU.MV004015350, MVUL.evm.TU.MV004015360, MVUL.evm.TU.MV004016400, MVUL.evm.TU.MV006007120, MVUL.evm.TU.MV006007520, MVUL.evm.TU.MV006007530, MVUL.evm.TU.MV006007540, MVUL.evm.TU.MV006007570, MVUL.evm.TU.MV006007580, MVUL.evm.TU.MV008003440, MVUL.evm.TU.MV009007100, MVUL.evm.TU.MV009008740, MVUL.evm.TU.MV009008910, MVUL.evm.TU.MV009008940, MVUL.evm.TU.MV009012490, MVUL.evm.TU.MV009012500, MVUL.evm.TU.MV010002640, MVUL.evm.TU.MV011003420, MVUL.evm.TU.MV011003430, MVUL.evm.TU.MV011003450, MVUL.evm.TU.MV011007920, MVUL.evm.TU.MV011007930, MVUL.evm.TU.MV011007940, MVUL.evm.TU.MV012010360, MVUL.evm.TU.MV013011870, MVUL.evm.TU.MV015006160, MVUL.evm.TU.MV015006170, MVUL.evm.TU.MV015006190, MVUL.evm.TU.MV015006200, MVUL.evm.TU.MV016009050, MVUL.evm.TU.MV019000590, MVUL.evm.TU.MV019006980, MVUL.evm.TU.MV019006990, MVUL.evm.TU.MV019007170, MVUL.evm.TU.MV020001930, MVUL.evm.TU.MV020003690, MVUL.evm.TU.MV021007990, MVUL.evm.TU.MV022006430, MVUL.evm.TU.MV022006860, MVUL.evm.TU.MV023006970, MVUL.evm.TU.MV023006980, MVUL.evm.TU.MV024007890, MVUL.evm.TU.MV024008250, MVUL.evm.TU.MV024008270, MVUL.evm.TU.MV025000470, MVUL.evm.TU.MV025002400, MVUL.evm.TU.MV025002950, MVUL.evm.TU.MV025007580, MVUL.evm.TU.MV025008560, MVUL.evm.TU.MV030004820, MVUL.evm.TU.MV031002610, MVUL.evm.TU.MV032002290, MVUL.evm.TU.MV032002300, MVUL.evm.TU.MV032006280, MVUL.evm.TU.MV034005450, MVUL.evm.TU.MV035008240, MVUL.evm.TU.MV035008250, MVUL.evm.TU.MV036001430, MVUL.evm.TU.MV036003320, MVUL.evm.TU.MV039001300, MVUL.evm.TU.MV039001500, MVUL.evm.TU.MV040004860, MVUL.evm.TU.MV040004970, MVUL.evm.TU.MV041004120, MVUL.evm.TU.MV043000250, MVUL.evm.TU.MV043000260, MVUL.evm.TU.MV043000270, MVUL.evm.TU.MV043000280, MVUL.evm.TU.MV043000290, MVUL.evm.TU.MV060000020, MVUL.evm.TU.MV108000040, MVUL.evm.TU.MV108000070, MVUL.evm.TU.MV108000080, MVUL.evm.TU.MV108000090, MVUL.evm.TU.MV112000070			
