HOG	OG	Gene Tree Parent Clade	BLOB	DELA	EAND	HMAN	MVUL	NNAJ	PCOS	SCAV
N6.HOG0000000	OG0000000	n107				HMAN.evm.TU.Chr12.615				
N6.HOG0000001	OG0000001	n3				HMAN.evm.TU.Chr2.789, HMAN.evm.TU.Chr2.790				
N6.HOG0000002	OG0000001	n5				HMAN.evm.TU.Chr12.251				SCAV.g7320
N6.HOG0000003	OG0000001	n6				HMAN.evm.TU.Chr12.257				SCAV.g7295
N6.HOG0000004	OG0000002	n0								SCAV.g887
N6.HOG0000005	OG0000005	n127				HMAN.evm.TU.Chr7.503				SCAV.g445
N6.HOG0000006	OG0000005	n129				HMAN.evm.TU.Chr7.504, HMAN.evm.TU.Chr7.505, HMAN.evm.TU.Chr7.506				SCAV.g446, SCAV.g447
N6.HOG0000007	OG0000005	n133				HMAN.evm.TU.Chr7.507				SCAV.g448
N6.HOG0000008	OG0000005	n138				HMAN.evm.TU.Chr12.656				SCAV.g338
N6.HOG0000009	OG0000005	n139				HMAN.evm.TU.Chr2.1017				SCAV.g8801
N6.HOG0000010	OG0000005	n146				HMAN.evm.TU.Chr4.1515, HMAN.evm.TU.Chr4.1516, HMAN.evm.TU.Chr4.1517, HMAN.evm.TU.Chr4.1518, HMAN.evm.TU.Chr4.1520, HMAN.evm.TU.Unplaced205.1, HMAN.evm.TU.Unplaced205.2, HMAN.evm.TU.Unplaced205.3				SCAV.g13297, SCAV.g4240, SCAV.g8300
N6.HOG0000011	OG0000005	n156				HMAN.evm.TU.Chr12.807, HMAN.evm.TU.Chr2.850, HMAN.evm.TU.Chr2.961, HMAN.evm.TU.Chr4.1513, HMAN.evm.TU.Chr4.1521				SCAV.g13298
N6.HOG0000012	OG0000005	n163				HMAN.evm.TU.Chr7.499				SCAV.g480
N6.HOG0000013	OG0000005	n165				HMAN.evm.TU.Chr7.456				SCAV.g512
N6.HOG0000014	OG0000005	n166				HMAN.evm.TU.Chr7.455, HMAN.evm.TU.Chr7.457				SCAV.g513
N6.HOG0000015	OG0000005	n168				HMAN.evm.TU.Chr2.259				SCAV.g510, SCAV.g511
N6.HOG0000016	OG0000006	n0				HMAN.evm.TU.Chr2.66				
N6.HOG0000017	OG0000007	n0				HMAN.evm.TU.Chr5.508				SCAV.g15672, SCAV.g15673, SCAV.g15674, SCAV.g15675, SCAV.g15676, SCAV.g3532, SCAV.g4505, SCAV.g8094, SCAV.g9359, SCAV.g9360, SCAV.g9361, SCAV.g9362, SCAV.g9363, SCAV.g9364, SCAV.g9365, SCAV.g9366, SCAV.g9367, SCAV.g9368, SCAV.g9369, SCAV.g9370, SCAV.g9371, SCAV.g9372, SCAV.g9373, SCAV.g9374, SCAV.g9375, SCAV.g9376, SCAV.g9377, SCAV.g9378, SCAV.g9379, SCAV.g9380, SCAV.g9381, SCAV.g9382, SCAV.g9383, SCAV.g9384, SCAV.g9387, SCAV.g9388, SCAV.g9390, SCAV.g9391, SCAV.g9392, SCAV.g9393, SCAV.g9394, SCAV.g9395, SCAV.g9396, SCAV.g9397, SCAV.g9398, SCAV.g9400, SCAV.g9401, SCAV.g9403, SCAV.g9404, SCAV.g9405, SCAV.g9406, SCAV.g9407, SCAV.g9408, SCAV.g9409, SCAV.g9410, SCAV.g9411, SCAV.g9412, SCAV.g9413, SCAV.g9414, SCAV.g9415, SCAV.g9416, SCAV.g9417, SCAV.g9418, SCAV.g9419, SCAV.g9422, SCAV.g9423, SCAV.g9424, SCAV.g9425, SCAV.g9426, SCAV.g9427, SCAV.g9428, SCAV.g9429, SCAV.g9430, SCAV.g9431, SCAV.g9432, SCAV.g9434, SCAV.g9435, SCAV.g9436, SCAV.g9437, SCAV.g9438, SCAV.g9439, SCAV.g9440, SCAV.g9441, SCAV.g9443, SCAV.g9444, SCAV.g9445, SCAV.g9446, SCAV.g9447, SCAV.g9448, SCAV.g9449, SCAV.g9450, SCAV.g9451, SCAV.g9452, SCAV.g9453, SCAV.g9454, SCAV.g9455, SCAV.g9456, SCAV.g9457, SCAV.g9458, SCAV.g9459, SCAV.g9460, SCAV.g9461, SCAV.g9462, SCAV.g9463, SCAV.g9464, SCAV.g9465, SCAV.g9466, SCAV.g9467, SCAV.g9469, SCAV.g9470, SCAV.g9471, SCAV.g9472, SCAV.g9473, SCAV.g9474, SCAV.g9475, SCAV.g9476, SCAV.g9477, SCAV.g9478, SCAV.g9479, SCAV.g9481, SCAV.g9482, SCAV.g9483, SCAV.g9484, SCAV.g9485, SCAV.g9486, SCAV.g9487, SCAV.g9488, SCAV.g9489, SCAV.g9490, SCAV.g9491, SCAV.g9492, SCAV.g9493, SCAV.g9494, SCAV.g9495, SCAV.g9496, SCAV.g9497, SCAV.g9498, SCAV.g9499, SCAV.g9500, SCAV.g9501, SCAV.g9502, SCAV.g9503, SCAV.g9504, SCAV.g9505, SCAV.g9506, SCAV.g9507, SCAV.g9508, SCAV.g9509, SCAV.g9510, SCAV.g9511, SCAV.g9512, SCAV.g9513, SCAV.g9514, SCAV.g9515, SCAV.g9516, SCAV.g9517, SCAV.g9518, SCAV.g9519, SCAV.g9520, SCAV.g9521, SCAV.g9522, SCAV.g9524, SCAV.g9525, SCAV.g9526
N6.HOG0000018	OG0000008	n0				HMAN.evm.TU.Chr6.1025				
N6.HOG0000019	OG0000009	n5				HMAN.evm.TU.Chr7.169				SCAV.g7059, SCAV.g7064
N6.HOG0000020	OG0000009	n12				HMAN.evm.TU.Chr12.176, HMAN.evm.TU.Chr12.179				SCAV.g7347, SCAV.g7348, SCAV.g7504, SCAV.g7711, SCAV.g7712, SCAV.g7744, SCAV.g7745, SCAV.g7758, SCAV.g7760, SCAV.g7761, SCAV.g7762
N6.HOG0000021	OG0000009	n24				HMAN.evm.TU.Chr12.145, HMAN.evm.TU.Chr12.172, HMAN.evm.TU.Chr12.174				SCAV.g4557
N6.HOG0000022	OG0000009	n27				HMAN.evm.TU.Chr12.100, HMAN.evm.TU.Chr12.72, HMAN.evm.TU.Chr12.73				
N6.HOG0000023	OG0000009	n31								SCAV.g10186, SCAV.g10582, SCAV.g124, SCAV.g15698, SCAV.g4544, SCAV.g4562, SCAV.g4599, SCAV.g4916, SCAV.g6812, SCAV.g8038, SCAV.g8099
N6.HOG0000024	OG0000009	n42				HMAN.evm.TU.Chr12.303, HMAN.evm.TU.Chr12.310				SCAV.g7276
N6.HOG0000025	OG0000009	n44				HMAN.evm.TU.Chr12.301, HMAN.evm.TU.Chr12.302				SCAV.g11511, SCAV.g4546
