OG0004705	OVOL.OVOC_OM2	911101	914821
OG0004706	OVOL.OVOC_OM2	8869221	8870364
OG0004707	OVOL.OVOC_OM3	14769808	14773972
OG0004708	OVOL.OVOC_OM2	18730969	18735155
OG0004709	OVOL.OVOC_OM2	18143082	18148050
OG0004710	OVOL.OVOC_OM3	1526685	1530364
OG0004712	OVOL.OVOC_OM2	20935173	20944435
OG0004714	OVOL.OVOC_OM1b	21407334	21414680
OG0004716	OVOL.OVOC_OM2	14932421	14939805
OG0004718	OVOL.OVOC_OM1b	5896441	5911477
OG0004719	OVOL.OVOC_OM2	4890301	4899476
OG0004724	OVOL.OVOC_OM1b	24561770	24565311
OG0004727	OVOL.OVOC_OM2	20781753	20800391
OG0004728	OVOL.OVOC_OM2	23341671	23346560
OG0004730	OVOL.OVOC_OM3	4809806	4816521
OG0004731	OVOL.OVOC_OM2	13810973	13813394
OG0004732	OVOL.OVOC_OM1b	22284664	22287717
OG0004733	OVOL.OVOC_OM2	1090521	1092890
OG0004735	OVOL.OVOC_OM3	3448310	3452713
OG0004736	OVOL.OVOC_OM1b	13941028	13945029
OG0004739	OVOL.OVOC_OM4	6759428	6768547
OG0004740	OVOL.OVOC_OM3	2955283	2959645
OG0004743	OVOL.OVOC_OM1b	20183569	20195326
OG0004744	OVOL.OVOC_OM4	7762551	7771159
OG0004745	OVOL.OVOC_OM1b	10708770	10715468
OG0004746	OVOL.OVOC_OM2	12127036	12132344
OG0004748	OVOL.OVOC_OM2	8647215	8652061
OG0004749	OVOL.OVOC_OM4	9933794	9936034
OG0004750	OVOL.OVOC_OM1b	4868900	4873531
OG0004754	OVOL.OVOC_OM2	2015483	2020511
OG0004755	OVOL.OVOC_OM3	10147194	10150242
OG0004756	OVOL.OVOC_OM3	14361371	14363732
OG0004758	OVOL.OVOC_OM1b	8086995	8099292
OG0004759	OVOL.OVOC_OM1b	9003121	9014210
OG0004760	OVOL.OVOC_OM3	16494388	16495412
OG0004762	OVOL.OVOC_OM2	13013223	13023528
OG0004763	OVOL.OVOC_OM1b	13357161	13364649
